id,Street,Housenumber,Box,Floor,City,Postalcode,Property type,Region,District,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score,Latitude,Longitude
10590466,Koning Albertstraat,47,0,0.0,Mechelen,2800,0,FLANDERS,Mechelen,HOUSE,415000.0,residential_sale,1936.0,3.0,200.0,INSTALLED,0,True,0,0,165.0,2.0,0,GOOD,C,51.0649577,4.4575081
10646940,Menisberg,102,0,0.0,Beersel,1650,0,FLANDERS,Halle-Vilvoorde,HOUSE,415000.0,residential_sale,1967.0,3.0,157.0,INSTALLED,0,True,0,0,714.0,4.0,0,GOOD,C,50.7512547,4.2814269
10551277,Eyndovensteenweg,40,0,0.0,Brecht,2960,0,FLANDERS,Antwerp,VILLA,399000.0,residential_sale,1993.0,2.0,124.0,INSTALLED,0,True,0,True,485.0,4.0,0,GOOD,E,51.3448667,4.6404544
10612666,Menisberg,102,0,0.0,Huizingen,1654,0,FLANDERS,Halle-Vilvoorde,HOUSE,415000.0,residential_sale,1967.0,3.0,157.0,INSTALLED,0,True,0,0,714.0,4.0,0,GOOD,C,50.7512547,4.2814269
10615400,Borneveldstraat,64,0,0.0,Herent,3020,0,FLANDERS,Leuven,HOUSE,409000.0,residential_sale,1968.0,2.0,121.0,INSTALLED,0,True,True,True,363.0,3.0,0,GOOD,F,50.9109269,4.6887951
10673813,0,0,0,0.0,Schaerbeek,1030,0,BRUSSELS,Brussels,APARTMENT_BLOCK,495000.0,residential_sale,1929.0,3.0,135.0,HYPER_EQUIPPED,False,False,True,True,72.0,2.0,False,GOOD,F,0.0,0.0
10162465,Zeedijk,142, 0602,6.0,Middelkerke,8430,0,FLANDERS,Oostend,APARTMENT,450000.0,residential_sale,1994.0,2.0,81.0,INSTALLED,0,True,True,0,0.0,2.0,0,GOOD,B,51.186448,2.8112125
10324545,Rue des Coteaux,83,0,0.0,Schaerbeek,1030,URBAN,BRUSSELS,Brussels,APARTMENT_BLOCK,420000.0,residential_sale,1932.0,7.0,263.0,USA_INSTALLED,False,False,True,True,180.0,2.0,False,TO_BE_DONE_UP,G,50.8569679,4.3753698
10433751,Rue de la Gouttière,9,0,0.0,Bruxelles,1000,URBAN,BRUSSELS,Brussels,HOUSE,420000.0,residential_sale,1900.0,2.0,102.0,USA_HYPER_EQUIPPED,True,False,0,0,30.0,2.0,False,JUST_RENOVATED,E,50.8452705,4.3480815
10636408,Petrus Dewildestraat,26,0,0.0,Beersel,1650,0,FLANDERS,Halle-Vilvoorde,HOUSE,420000.0,residential_sale,1954.0,3.0,132.0,INSTALLED,0,True,True,0,196.0,3.0,0,GOOD,C,50.7604268,4.2766143
10524455,Rue des Métiers,1c,0,0.0,Durbuy,6940,LANDSCAPE,WALLONIE,Marche-en-Famenne,HOUSE,420000.0,residential_sale,2013.0,7.0,290.0,HYPER_EQUIPPED,0,True,0,True,1300.0,4.0,0,0,B,50.3652574,5.4402914
10636409,Petrus Dewildestraat,26,0,0.0,Lot,1651,0,FLANDERS,Halle-Vilvoorde,HOUSE,420000.0,residential_sale,1954.0,3.0,132.0,INSTALLED,0,True,True,0,196.0,3.0,0,GOOD,C,50.7604268,4.2766143
10673820,0,0,0,0.0,Treignes,5670,0,WALLONIE,Philippeville,HOUSE,130000.0,residential_sale,0.0,4.0,0.0,NOT_INSTALLED,False,False,0,0,371.0,0.0,False,0,E,0.0,0.0
10673822,Avenue de la Croix Rouge,274,0,0.0,Liège 2,4020,URBAN,WALLONIE,Liège,HOUSE,195000.0,residential_sale,0.0,4.0,161.0,INSTALLED,False,False,True,0,73.0,3.0,0,0,G,50.6452772,5.6075001
10673809,0,0,0,0.0,Ciney,5590,0,WALLONIE,Dinant,HOUSE,385000.0,residential_sale,0.0,4.0,340.0,INSTALLED,0,False,0,0,0.0,2.0,0,GOOD,D,0.0,0.0
10673798,Nadine Crappéstraat,32, 003,0.0,Gent,9000,RESIDENTIAL,FLANDERS,Gent,GROUND_FLOOR,365000.0,residential_sale,2013.0,2.0,81.0,HYPER_EQUIPPED,0,True,True,0,0.0,2.0,0,GOOD,B,51.0545245,3.6905207
10535127,Rue Max Buset,41,0,0.0,FLÉMALLE-HAUTE,4400,0,WALLONIE,Liège,HOUSE,390000.0,residential_sale,0.0,4.0,240.0,NOT_INSTALLED,0,True,0,True,680.0,4.0,0,AS_NEW,F,50.58109,5.4238522
10673814,0,0,0,0.0,Forest,1190,0,BRUSSELS,Brussels,APARTMENT,220000.0,residential_sale,1976.0,1.0,100.0,0,0,True,True,0,0.0,2.0,0,0,D,0.0,0.0
10673800,Oude Gentbaan,279,0,0.0,Aalst,9300,0,FLANDERS,Aalst,HOUSE,679000.0,residential_sale,2021.0,4.0,210.0,INSTALLED,0,True,True,True,879.0,3.0,0,0,A,50.9435714,3.9997322
10673802,Faliestraat,10,0,0.0,Zottegem,9620,0,FLANDERS,Aalst,HOUSE,249000.0,residential_sale,0.0,3.0,221.0,INSTALLED,False,False,True,True,604.0,4.0,False,TO_BE_DONE_UP,D,50.8332164,3.7967163
10673790,Leiebos,23, 10,1.0,Merksem,2170,0,FLANDERS,Antwerp,APARTMENT,177777.0,residential_sale,1977.0,1.0,66.0,INSTALLED,0,True,0,0,0.0,3.0,0,AS_NEW,B,51.256356,4.4592925
10673795,Schoolstraat,52,0,0.0,Temse,9140,SHOP_STREET,FLANDERS,Sint-Niklaas,HOUSE,699000.0,residential_sale,1903.0,4.0,370.0,INSTALLED,0,True,0,True,739.0,2.0,0,GOOD,C,51.1269147,4.2084924
10633307,Chaussée de Jolimont,167,0,0.0,Haine-Saint-Pierre,7100,URBAN,WALLONIE,Soignies,HOUSE,79000.0,residential_sale,0.0,2.0,0.0,0,False,False,0,0,0.0,2.0,False,0,G,50.4741532,4.2181472
10673781,Gasmeterstraat,2,0,0.0,Maldegem,9990,0,FLANDERS,Eeklo,HOUSE,429000.0,residential_sale,0.0,4.0,161.0,HYPER_EQUIPPED,False,False,0,True,130.0,3.0,False,AS_NEW,B,51.2099586,3.4402928
10673780,Rue de Huy,131,0,0.0,Waremme,4300,0,WALLONIE,Waremme,HOUSE,369000.0,residential_sale,1986.0,4.0,0.0,0,0,True,0,True,660.0,4.0,0,AS_NEW,D,50.6863824,5.2498115
10673775,rue des combattants,73,0,0.0,SCLAYN,5300,0,WALLONIE,Namur,APARTMENT_BLOCK,175000.0,residential_sale,0.0,0.0,0.0,0,0,True,0,0,0.0,0.0,0,TO_BE_DONE_UP,0,50.4874709,5.0243605
10673779,Rue Saint-Eloi,215,0,0.0,Waremme,4300,0,WALLONIE,Waremme,TOWN_HOUSE,400000.0,residential_sale,0.0,5.0,190.0,NOT_INSTALLED,0,True,0,True,547.0,0.0,0,JUST_RENOVATED,G,50.696138,5.2755082
10673776,Clos de Hesbaye,19,0,0.0,Waremme,4300,0,WALLONIE,Waremme,HOUSE,235000.0,residential_sale,1971.0,3.0,0.0,0,0,True,True,True,0.0,3.0,0,AS_NEW,G,50.6977014,5.2661736
10673772,Avenue Guillaume Joachim,12, 8,4.0,Waremme,4300,0,WALLONIE,Waremme,APARTMENT,200000.0,residential_sale,1997.0,2.0,112.0,0,0,True,0,0,0.0,0.0,0,0,D,50.6973699,5.2586646
10673773,Rue Jules Beaumont,20,0,0.0,AWIRS,4400,0,WALLONIE,Liège,HOUSE,335000.0,residential_sale,0.0,4.0,190.0,0,0,True,0,0,343.0,0.0,0,0,A,50.6007721,5.4112039
10673769,Zandbergstraat,18,001,0.0,Wingene,8750,FITTED_OUT,FLANDERS,Tielt,GROUND_FLOOR,225000.0,residential_sale,0.0,2.0,89.0,0,0,False,True,0,0.0,0.0,0,GOOD,B,51.0592455,3.2794836
10673762,Platte Lostraat,227,0,0.0,Kessel-Lo,3010,FITTED_OUT,FLANDERS,Leuven,HOUSE,370000.0,residential_sale,1933.0,4.0,143.0,0,0,False,True,0,220.0,2.0,0,GOOD,C,50.8753216,4.7296656
10564504,Melkwezerstraat,17,0,0.0,Wommersom,3350,COUNTRY,FLANDERS,Leuven,HOUSE,269000.0,residential_sale,1961.0,4.0,195.0,0,0,False,True,True,685.0,4.0,0,TO_RENOVATE,F,50.8142809,5.0191235
10673760,0,0,0,0.0,Nea Erythraia,146 71,0,0,0,HOUSE,800000.0,residential_sale,1991.0,4.0,310.0,0,False,True,0,0,0.0,0.0,False,AS_NEW,0,0.0,0.0
10673757,Parkstraat,"104,",0,0.0,Beernem,8730,0,FLANDERS,Brugge,HOUSE,299000.0,residential_sale,2001.0,2.0,101.0,0,False,False,0,True,745.0,4.0,False,AS_NEW,C,51.1412131,3.3341886
10673758,Parkstraat,"104,",0,0.0,Beernem,8730,0,FLANDERS,Brugge,APARTMENT,299000.0,residential_sale,2001.0,2.0,101.0,0,False,False,0,True,0.0,4.0,False,AS_NEW,C,51.1412131,3.3341886
10673753,Begonialaan,26,0,0.0,De Pinte,9840,RESIDENTIAL,FLANDERS,Gent,VILLA,695000.0,residential_sale,1962.0,3.0,235.0,0,0,False,0,0,854.0,4.0,0,GOOD,B,50.9962935,3.6542129
10553395,Schollebeekstraat,19,0,0.0,Lier,2500,0,FLANDERS,Mechelen,HOUSE,425000.0,residential_sale,0.0,3.0,145.0,INSTALLED,0,True,True,True,170.0,3.0,0,JUST_RENOVATED,B,51.1181267,4.5835866
